food_name,protein,province,carbohydrate
"성장기 즉석식품",15,8,67
"체중조절용 즉석식품",45,5,34
만두피,8,5,40
"기타 즉석식품",2,0,29
기타가공품,13,13,41
귀리,11,9,67
기장,13,4,70
메밀,10,3,47
"메밀 국수",7,1,46
"메밀 냉면",7,1,51
메밀묵,5,1,45
멥쌀,7,2,77
"멥쌀 국수",5,1,55
멥쌀밥,3,0,41
밀,12,1,74
보리,11,2,66
수수,11,3,74
옥수수묵,1,0,13
"옥수수 샐러드",3,0,22
율무,15,5,68
"율무 국수",13,1,75
조,11,4,67
찹쌀,7,2,77
"찹쌀 국수",8,0,75
피,8,5,74
호밀,13,2,74
퀴노아,10,3,73
잡곡,10,2,73
아마란스,17,6,67
찹쌀밥,3,1,36
으깬감자,2,1,18
고구마말랭이,4,0,66
당면,0,0,69
곤약(구약나물),1,0,24
돼지감자,5,0,35
마,2,0,17
아피오스감자,6,0,38
전분,0,0,88
천마,1,0,19
칡뿌리,2,0,32
토란,2,0,16
야콘,1,0,11
칡즙,0,0,5
히카마(얌빈),1,0,11
꿀,0,0,86
당밀,0,0,68
설탕,0,0,99
포도당,0,0,91
강낭콩,12,1,39
녹두,18,1,43
"녹두 국수",0,0,88
녹두묵,0,0,10
동부,14,1,40
라이마빈스,16,1,43
완두,13,1,31
작두(도두),18,1,39
잠두,17,1,39
쥐눈이콩(검정소립콩),33,13,25
콩(대두),34,15,31
팥,20,1,55
렌즈콩(렌틸콩),19,1,51
병아리콩,13,4,46
개암(헤이즐넛),15,62,17
도토리,3,2,72
"도토리 국수",12,1,72
도토리묵,1,1,49
들깨,10,13,15
땅콩,23,43,23
때죽,14,45,32
마름,6,0,41
머루씨,6,5,54
밤,3,0,39
브라질너트,14,67,12
삼씨(대마씨),30,28,32
수박씨,19,23,47
아몬드,23,51,20
연씨,6,0,15
은행,5,2,42
잣,16,65,14
참깨,23,44,24
코코넛,6,56,34
피스타치오넛,23,47,24
피칸,9,72,14
해바라기씨,21,51,21
호두,15,70,10
호박씨,35,48,5
아마씨,22,43,30
치아씨,17,31,42
목화씨,33,36,22
가시오가피,5,1,14
가지,5,1,20
갓,3,0,6
갯기름나물,4,1,10
게걸무,2,0,10
겨자,8,8,19
고들빼기,2,0,7
고려엉겅퀴(곤드레),12,2,20
고비,5,0,18
고사리,15,1,30
고수(향채),2,0,5
고추,3,1,11
고춧잎,13,2,15
고추냉이,12,1,28
곤달비,2,0,8
곰취,5,3,38
공심채,2,0,5
꾸지뽕,7,1,27
국화꽃,5,0,29
근대,2,0,4
꽃양배추(콜리플라워),2,0,5
꿀풀(하고초),5,2,42
날개콩,2,0,6
냉이,5,0,9
누리장나무잎,4,1,13
는쟁이냉이,2,0,5
달래,2,0,6
당귀,3,1,8
당근,1,0,7
더덕,6,1,38
도라지,7,1,45
동아,1,0,4
두릅,4,0,6
둥굴레,10,1,40
리크,2,0,10
마늘,9,1,36
풋마늘,2,0,7
마늘종,2,0,14
마타리,2,0,11
머위,10,2,24
무,1,0,4
무순,2,1,2
무청,3,0,4
무시래기,2,0,5
"무 절임(치킨무)",0,0,5
무말랭이,14,0,65
물냉이,4,0,4
물쑥,4,0,9
미나리,2,0,9
민들레,2,0,6
바셀라,1,0,3
바질,3,1,6
박,1,0,7
박고지,8,0,69
박쥐나무,7,1,21
방가지똥,2,0,10
방울다다기양배추,4,0,10
배추,2,0,6
백모근,9,2,77
부지갱이(섬쑥부쟁이),13,1,25
부추,2,0,6
브로콜리,8,1,25
비름,3,0,4
비타민채(다채),2,0,2
비트,2,0,4
사탕수수,1,0,21
산마늘(명이나물),2,0,8
삼나물,23,2,61
생강,6,4,25
상추,1,0,3
섬초롱,2,0,8
세발나물,2,0,4
셀러리,1,0,4
소리쟁이,22,2,53
쇠귀나물,6,0,27
수리취(떡취),4,0,15
순무,2,0,6
스테비아,8,1,40
시금치,4,1,5
신선초(명일엽),1,0,6
쌈추,3,0,4
쑥,7,1,19
쑥갓,2,0,3
쑥부쟁이,3,1,4
씀바귀,3,0,11
아스파라거스,2,0,3
아욱,3,0,6
아이비카,28,4,44
아주까리,21,2,33
알팔파,4,0,3
양배추,2,0,7
양파,3,1,23
양하,1,0,3
어수리,3,0,8
얼갈이배추,2,0,2
엄나무(개두릅),7,1,5
엉겅퀴,25,2,55
여주(고야),1,0,4
연근,1,0,16
